sample_id,treatment,day,voc,class_label
40,Control ,6,"['pentane', 'acetaldehyde', 'methanol', 'methanethiol', '2-methylbutane', 'pentane', 'diethyl ether', 'acetaldehyde', 'methanol', 'methanethiol', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', 'butan-2-one', '2-butanol', 'chloroform', 's(+)-2-butanol', 'methane, bromochloro-', 'pentanal', '1,2-dichloropropane', 'ethyl acrylate', '3-pentanone', 'ethyl propanoate', '3-ethylhexane', '3-methylheptane', '1-chloropentane', '2-methylheptane', '4-methylheptane', 'nonane', '1-hexen-3-ol', 'pentanol', '(e)-2-penten-1-ol', 'ethane, 1,1,2-trichloro-', '2-hexanol', 'edb', 'dibromochloromethane', '(z)-3-hexenal', '3-hexanol', 'butyl 2-propenoate', '2-pentanone, 3-mercapto-', 'butyl propanoate', 'propyl 2-methyl-2-propenoate', 'pentyl acetate', 'pentanoic acid', '3-mercapto-4-methyl-2-pentanone', '1-octen-3-ol', 'octadienone', '1,5-octadienone']",moderate
41,Control ,8,"['trimethylamine', 'methanethiol', 'acetaldehyde', 'methanol', 'methanethiol', 'methyl formate', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', 'carbon disulfide', '3-ethylpentane', '1-propanol', '2,2,4-trimethylpentane', 'cyclohexane', 'carbon disulfide', '1-propanol', 'butane-2,3-dione', 'butanal', '3-buten-2-one', '2-butanol', 'butan-2-one', 'chloroform', 's(+)-2-butanol', 'methane, bromochloro-', '2-ethyl furan', 'trichloroethylene', 'heptane', 'fluorobenzene', 'methyl isobutyrate', '3-ethylhexane', '3-methylheptane', '1-chloropentane', '2-methylheptane', 'dimethyl disulfide', '1-hydroxy-2-propanone', 'pentan-2-ol', 'pent-1-en-3-ol', 'pentan-2-one', '3-pentanol', '3-methylfuran', '3-methyl-octane', '3-ethylheptane', '2-methyl octane', 'dibutyl ether', 'edb', '2-hexanol', 'dibromochloromethane', '3-hexanol', '(z)-3-hexenal', 'dimethyl sulfoxide', '3-methylbutanoic acid', '2-furanmethanol', '(e,e)-2,4-hexadienal', 'methional', 'pentanoic acid', '(e,e)-2,4-hexadienal', 'butylbenzene', 'limonene', 'gamma-terpinene', 'butylbenzene', 'gamma-terpinene', '1, 8-cineole', 'benzene, 1,2-dichloro-', 'limonene', 'dodecane', 'ethyl cyclohexanecarboxylate', '2-butenoic acid, pentyl ester', '(z)-3-hexenyl isobutyrate', 'limonene oxide', 'triethyl phosphate', 'phenol, 2,6-dimethyl-', '1,3,8 para-menthatriene', '1,2-dibromo-3-chloropropane', 'homofuraneol']",spoiled
42,Control ,8,"['trimethylamine', 'methanethiol', 'methyl formate', '2-methylbutane', 'methanol', 'acetaldehyde', 'methyl formate', 'methanethiol', 'pentane', 'methanol', 'acetaldehyde', 'methyl formate', 'methanethiol', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'propan-2-one', 'dimethyl sulfide', '2-propanol', '2-methyl-2-propanol', '2-methylfuran', 'methylcyclopentane', 'ethyl acetate', '2,2-dichloropropane', '1-propanethiol', 'ethene, 1,2-dichloro, (z)-', 'methyl 2-propenoate', '1-propanethiol', 'ethyl acetate', '2,2-dichloropropane', 'butan-2-one', '2-butanol', 'chloroform', 's(+)-2-butanol', 'methane, bromochloro-', 'fluorobenzene', 'methyl isobutyrate', '2-methylbutanal', 'benzene', 'isopropyl acetate', 'acetic acid', 'formic acid', '2,3-pentanedione', 'methyl butanoate', 'dibromomethane', '(e)-2-octene', '2,4-octadiene', '3-pentanol', 'ethyl isobutyrate', 'toluene', '1-pentanethiol', '2,5,5-trimethyl 1,3-dioxane', '4-ethenylcyclohexene', '3-methyl-2-butene-1-thiol', 'ethyl methacrylate', '2-hexanol', 'edb', 'dibromochloromethane', '(z)-3-hexenal', '3-hexanol', 'butyl 2-propenoate', '2-pentanone, 3-mercapto-', 'butyl propanoate', 'propyl 2-methyl-2-propenoate', 'pentyl acetate', '5-ethyl nonane', '4-ethyl nonane', 'decane, 5-methyl-', 'limonene', '4-methyldecane', 'pentanoic acid', '(e,e)-2,4-hexadienal', '3-mercapto-4-methyl-2-pentanone', 'dimethyl methylphosphonate', 'dimethyl sulfoxide', 'gamma-terpinene', 'butylbenzene', '3-methyldecane', 'terpinolene', 'undecane']",spoiled
43,Control ,8,"['trimethylamine', 'trimethylamine', 'methanethiol', 'methyl formate', '2-methylbutane', 'acetaldehyde', 'methanol', 'methanethiol', '2-methylbutane', 'methyl formate', 'methanol', 'acetaldehyde', 'methyl formate', 'methanethiol', '2-methylbutane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', 'hexane, 2-methyl-', 'cyclohexane', '3-methylhexane', 'hexamethyldisiloxane', '3-ethylpentane', 'cyclohexane', '3-methylhexane', 'hexane, 2-methyl-', 'hexamethyldisiloxane', '1,1-dichloropropene', 'heptane', '2,2,4-trimethylpentane', '3-ethylpentane', 'hexamethyldisiloxane', '3-methylhexane', 'benzene', '2-methylbutanal', 'isopropyl acetate', 'thiophene', '3-methylbutanal', 'n-butanol', '1-methoxy-2-propanol', '1-penten-3-one', 'trometamol', 'pent-1-en-3-ol', '2,3-pentanedione', 'methyl butanoate', 'dibromomethane', 'pentanal', 'ethyl acrylate', '1-hydroxy-2-propanone', 'pentan-2-ol', 'pent-1-en-3-ol', '3-pentanol', 'pentan-2-one', 'acetoin', '1-hydroxy-2-propanone', '3-pentanol', '3-methylfuran', 'propylcyclopentane', '3-methylfuran', 'pentanol', '1-hexen-3-ol', '(e)-2-penten-1-ol', 'ethane, 1,1,2-trichloro-', '2-hexanol', 'edb', 'dibromochloromethane', '(z)-3-hexenal', '3-hexanol', '5-methyl-4-nonene', 'octamethylcyclotetrasiloxane', 'decane', '1-heptene-3-one', '1-hexanol', 'decane', '5-methyl-4-nonene', '1,3,5-trimethylbenzene', 'octamethylcyclotetrasiloxane', '()-.-beta-.-pinene', '5-ethyl nonane', '4-ethyl nonane', 'decane, 5-methyl-', 'limonene', '4-methyldecane', 'butyl methacrylate', '3-octanone', 'putrescine', '2,3-octanedione', '1,5-octadienone', 'undecane', 'gamma-terpinene', 'butylbenzene', '3-methyldecane', 'terpinolene', 'octanal', 'propionylpyrroline', '2-propionylpyrrole', 'trimethylpyrazine', 'trans-hex-2-enyl acetate', 'hexanoic acid', '5-methylfurfural', '2,4-heptadienal, (e,e)-', '2-(2-ethoxyethoxy)ethanol', '2,4-heptadienal (z,z)', 'ethyl 3-(methylthio)propanoate', 'fenchol', 'n-nonanal', 'ethyl cyclohexanecarboxylate', 'limonene oxide', '1,2-dibromo-3-chloropropane', 'p-cresol', 'm-cresol', 'naphthalene', 'citronellol', 'p-anisaldehyde', 'dichlorvos', 'tridecanal', 'undecyl acetate', '2-tridecanol', 'methyl dodecanoate', '3-tridecanol', 'myristicin', 'isopropyl cinnamate', 'molinate', 'bis(2-methyl-3-furanyl)disulfide']",spoiled
44,Control ,8,"['methanethiol', 'trimethylamine', 'methyl formate', '2-methylbutane', 'pentane', 'methanol', 'acetaldehyde', 'methyl formate', 'methanethiol', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', 'ethene, 1,2-dichloro, (z)-', 'methyl 2-propenoate', '1-propanethiol', 'ethyl acetate', '2,2-dichloropropane', 'tetrahydrofuran', 'methyl propanoate', '1-butanamine', 'trichloroethane', 'methane, bromochloro-', '3-ethylhexane', '3-methylheptane', '2-methylheptane', '4-methylheptane', '1-chloropentane', '3-methyl-octane', '3-ethylheptane', '2-methyl octane', '4-methyl-octane', 'dibutyl ether', '2-mercaptoethanol', '2-hexanol', 'edb', 'dibromochloromethane', '(z)-3-hexenal', '3-octanol', '2-octanol', '2-octanone', 'benzaldehyde', 'ethyl (methylthio)acetate', 'decane, 5-ethyl', 'cyclopentasiloxane, decamethyl-', 'decane, 4-ethyl', '6-methylundecane', '5-methylundecane', 'phenol', 'hexanoic acid', 'methyl cyclohexanecarboxylate', 'hexyl isobutyrate', '(z)-3-hexenyl isobutyrate']",spoiled
45,Control ,8,"['methanethiol', '2-methylbutane', 'acetaldehyde', 'methanol', 'methanethiol', '2-methylbutane', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', 'cyclohexane', '3-methylhexane', 'hexane, 2-methyl-', 'hexamethyldisiloxane', '3-ethylpentane', 'ethene, 1,2-dichloro, (z)-', 'methyl 2-propenoate', '1-propanethiol', 'ethyl acetate', 'chloroform', '2-butanol', 'butan-2-one', 'chloroform', 's(+)-2-butanol', 'methane, bromochloro-', '2-methylbutanal', 'benzene', 'thiophene', 'isopropyl acetate', '3-methylbutanal', 'toluene', '1-octene', 'ethyl isobutyrate', '2-methylthiophene', '1-chloropentane', 'methyl 2-methylbutanoate', '2-methylthiophene', 'toluene', 'methyl crotonate', '2-methylpentanal', '1-hydroxy-2-propanone', '3-methylfuran', 'propylcyclopentane', 'ethylcyclohexane', '4-ethylheptane', '1-hexen-3-ol', 'pentanol', '(e)-2-penten-1-ol', 'ethane, 1,1,2-trichloro-', 'propane, 1,3-dichloro-', 'edb', '2-hexanol', 'dibromochloromethane', '3-hexanol', '(z)-3-hexenal', 'cyclopentane, pentyl-', '5-ethyl nonane', '1-methyl-4-isopropenyl-1-cyclohexene', 'l-limonene', '4-ethyl nonane', 'dipentëne / terpëne/limonene', 'dimethyl sulfoxide', 'p-cymene', '1, 8-cineole', 'l-limonene', 'gamma-terpinene', 'butylbenzene']",spoiled
46,Control ,8,"['trimethylamine', 'methanethiol', '2-methylbutane', 'acetaldehyde', 'methanol', 'methanethiol', '2-methylbutane', 'pentane', 'ethyl chloride', 'furan', 'diethyl ether', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', '2-methyl-2-propanethiol', 'ethane, 1,1-dichloro-', 'vinyl acetate', 'diisopropyl ether', '2-methylfuran', 'hexane, 2-methyl-', 'cyclohexane', '3-methylhexane', 'hexamethyldisiloxane', 'acetonitrile', 'ethene, 1,2-dichloro, (z)-', 'methyl 2-propenoate', '1-propanethiol', 'ethyl acetate', '2,2-dichloropropane', 'chloroform', 'methane, bromochloro-', 'ethene, 1,2-dichloro, (z)-', 'methyl 2-propenoate', 'methyl propanoate', '3-pentanol', '2,3-pentanedione', 'methane, bromodichloro-', 'methyl butanoate', 'dibromomethane', '1-hexen-3-ol', 'pentanol', '(e)-2-penten-1-ol', 'ethane, 1,1,2-trichloro-', '1-hexen-3-one', '2-hexanol', 'edb', 'dibromochloromethane', '(z)-3-hexenal', '3-hexanol', '4-heptanol', '1-hexanol', '(z)-2-hexen-1-ol', 'e-2-hexen-1-ol', '1-heptene-3-one', '3-octanol', '2-octanol', 'benzaldehyde', '2-octanone', 'ethyl (methylthio)acetate', 'decane, 5-ethyl', 'cyclopentasiloxane, decamethyl-', 'decane, 4-ethyl', '6-methylundecane', '5-methylundecane', 'butyl pentanoate', 'ethyl heptanoate', 'hexyl acrylate', 'pentyl butanoate', '1-undecene, 5-methyl-', 'phenol', 'hexanoic acid', 'methyl cyclohexanecarboxylate', '2-butyloctanol', '3-nonanol', 'n-hexylbenzene', '1-p-menthen-8-thiol', 'tridecane', '(r)-linden ether', 'benzoic acid', 'cinnamic acid', '(e)-cinnamic acid']",spoiled
47,Control ,8,"['trimethylamine', 'methanethiol', 'methyl formate', '2-methylbutane', 'methanol', 'acetaldehyde', 'methyl formate', 'methanethiol', '2-methylbutane', 'methanol', 'acetaldehyde', 'methyl formate', 'methanethiol', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', 'ethene, 1,2-dichloro, (z)-', 'methyl 2-propenoate', '1-propanethiol', 'ethyl acetate', '2,2-dichloropropane', 'chloroform', 'methane, bromochloro-', 'ethene, 1,2-dichloro, (z)-', 'methyl 2-propenoate', '1-propanethiol', 'formic acid', '3-methylheptane', '3-ethylhexane', '2-methylheptane', '4-methylheptane', 'formic acid', '3-ethylhexane', '3-methylheptane', '1-chloropentane', '2-methylheptane', '1-hexen-3-ol', 'pentanol', '(e)-2-penten-1-ol', 'ethane, 1,1,2-trichloro-', '1-hexen-3-one', '2-mercaptoethanol', '2-hexanol', 'edb', 'dibromochloromethane', '(z)-3-hexenal', 'octamethylcyclotetrasiloxane', 'beta-pinene', '()-.-beta-.-pinene', 'decane', '5-methyl-4-nonene', '3-octanol', '2-octanol', '2-octanone', 'benzaldehyde', 'ethyl (methylthio)acetate', 'decane, 5-ethyl', 'cyclopentasiloxane, decamethyl-', 'decane, 4-ethyl', '6-methylundecane', '5-methylundecane', 'phenol', 'hexanoic acid', 'methyl cyclohexanecarboxylate', 'ethyl 3-(methylthio)propanoate', '3-nonanol']",spoiled
48,Control ,8,"['trimethylamine', 'methanethiol', '2-methylbutane', 'methanol', 'acetaldehyde', 'methyl formate', 'methanethiol', 'pentane', 'methanol', 'acetaldehyde', 'methyl formate', 'methanethiol', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', '3-ethylpentane', 'hexamethyldisiloxane', '2,2,4-trimethylpentane', '3-methylhexane', 'ethyl acetate', '1-propanol', 'butan-2-one', '2-butanol', 'chloroform', 's(+)-2-butanol', 'acetic acid', 'formic acid', 'pentanal', '1,2-dichloropropane', 'ethyl acrylate', '3-ethylhexane', '3-methylheptane', '1-chloropentane', '2-methylheptane', '4-methylheptane', '3-methyl-octane', '3-ethylheptane', '3-methylfuran', '2-methyl octane', 'dibutyl ether', '2-hexanol', 'edb', 'dibromochloromethane', '3-hexanol', '(z)-3-hexenal', '2-methylpropanoic acid', 'formamide, n,n-dimethyl-', '2,3-butanediol', '2-pentanone, 3-mercapto-', 'butyl 2-propenoate', '4-heptanol', '1-hexanol', '(z)-2-hexen-1-ol', '1-heptene-3-one', 'e-2-hexen-1-ol', 'pentanoic acid', '3-octanol', '2-octanol', '2-octanone', 'benzaldehyde', 'decane, 5-ethyl', 'cyclopentasiloxane, decamethyl-', 'decane, 4-ethyl', '6-methylundecane', '5-methylundecane', 'phenol', 'hexanoic acid', 'methyl cyclohexanecarboxylate', 'hexyl isobutyrate', '(z)-3-hexenyl isobutyrate']",spoiled
49,Control ,8,"['trimethylamine', 'methanethiol', '2-methylbutane', 'acetaldehyde', 'methanol', 'methanethiol', 'methyl formate', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'propan-2-one', 'dimethyl sulfide', '2-propanol', '2-methyl-2-propanol', 'ethene, 1,2-dichloro, (z)-', 'methyl 2-propenoate', '1-propanethiol', 'ethyl acetate', '2,2-dichloropropane', 'tetrahydrofuran', 'methyl propanoate', '1-butanamine', 'trichloroethane', 'methane, bromochloro-', '4-methylheptane', '2-methylheptane', 'trichloroethylene', '2-ethyl furan', 'methyl isobutyrate', '3-methylheptane', '3-ethylhexane', '2-methylheptane', '4-methylheptane', 'pentanal', '3-ethylhexane', '3-methylheptane', '1-chloropentane', '2-methylheptane', '4-methylheptane', '1-hexen-3-ol', 'pentanol', '(e)-2-penten-1-ol', 'ethane, 1,1,2-trichloro-', '1-hexen-3-one', '2-hexanol', 'edb', 'dibromochloromethane', '(z)-3-hexenal', '3-hexanol', 'propyl 2-methyl-2-propenoate', '4-methoxy-2-methyl-2-mercaptobutane', '2-pentanone, 3-mercapto-', 'heptanal', '(z)-4-heptenal', 'undecane', 'cis-decalin', 'terpinolene', 'benzene, 1,2-dichloro-', '2-propionylpyrrole', 'decane, 5-ethyl', 'cyclopentasiloxane, decamethyl-', 'decane, 4-ethyl', '6-methylundecane', '5-methylundecane', '2-(5h)-furanone', 'p-menthatriene', '2-isopropyl-3-methoxypyrazine', 'cis-decalin', '2-ethyl-5,6-dimethylpyrazine', 'phenol', 'hexanoic acid', 'methyl cyclohexanecarboxylate', 'benzyl alcohol', 'delta-valerolactone', 'delta-decalactone', 'coumarin', '2,4-dinitrotoluene']",spoiled
50,Control ,8,"['trimethylamine', 'methanethiol', '2-methylbutane', 'acetaldehyde', 'methanol', 'methanethiol', 'methyl formate', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'propan-2-one', 'dimethyl sulfide', '2-propanol', '2-methyl-2-propanol', 'ethene, 1,2-dichloro, (z)-', 'methyl 2-propenoate', '1-propanethiol', 'ethyl acetate', '2,2-dichloropropane', 'tetrahydrofuran', 'methyl propanoate', '1-butanamine', 'trichloroethane', 'methane, bromochloro-', '4-methylheptane', '2-methylheptane', 'trichloroethylene', '2-ethyl furan', 'methyl isobutyrate', '3-methylheptane', '3-ethylhexane', '2-methylheptane', '4-methylheptane', 'pentanal', '3-ethylhexane', '3-methylheptane', '1-chloropentane', '2-methylheptane', '4-methylheptane', '1-hexen-3-ol', 'pentanol', '(e)-2-penten-1-ol', 'ethane, 1,1,2-trichloro-', '1-hexen-3-one', '2-hexanol', 'edb', 'dibromochloromethane', '(z)-3-hexenal', '3-hexanol', 'propyl 2-methyl-2-propenoate', '4-methoxy-2-methyl-2-mercaptobutane', '2-pentanone, 3-mercapto-', 'heptanal', '(z)-4-heptenal', 'undecane', 'cis-decalin', 'terpinolene', 'benzene, 1,2-dichloro-', '2-propionylpyrrole', 'decane, 5-ethyl', 'cyclopentasiloxane, decamethyl-', 'decane, 4-ethyl', '6-methylundecane', '5-methylundecane', '2-(5h)-furanone', 'p-menthatriene', '2-isopropyl-3-methoxypyrazine', 'cis-decalin', '2-ethyl-5,6-dimethylpyrazine', 'phenol', 'hexanoic acid', 'methyl cyclohexanecarboxylate', 'benzyl alcohol', 'delta-valerolactone', 'delta-decalactone', 'coumarin', '2,4-dinitrotoluene']",spoiled
51,TA 1,0,"['methanethiol', '2-methylbutane', 'acetaldehyde', 'methanethiol', 'methanol', '2-methylbutane', 'pentane', 'acetaldehyde', 'methanol', 'methanethiol', 'pentane', 'diethyl ether', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'propan-2-one', 'dimethyl sulfide', '2-propanol', '2-methyl-2-propanol', 'methyl 2-propenoate', 'ethene, 1,2-dichloro, (z)-', '2,2-dichloropropane', 'ethyl acetate', '1-propanethiol', '1-propanol', 'butan-2-one', '2-butanol', 's(+)-2-butanol', 'chloroform', 'acetic acid', 'n-butanol', 'formic acid', '1-methoxy-2-propanol', 'but-(e)-2-enal', 'acetic acid', 'formic acid', '2,3-pentanedione', 'dibromomethane', 'methyl butanoate', 'nonane', 'dibutyl ether', 'acetoin', 'pentanol', '1-hexen-3-ol', 'dibromochloromethane', '(z)-3-hexenal', 'hexanal', '2-hexanol', 'edb', 'butyl 2-propenoate', 'butyl propanoate', '2-pentanone, 3-mercapto-', 'ethyl pentanoate', 'vinylbenzene', 'heptan-2-ol', 'cyclohexanone', '(z)-4-heptenal', 'heptanal', '2,6-dimethyl-3-octene', 'cyclopentane, 1-ethyl-3-methyl-', 'pentanoic acid', '(e,e)-2,4-hexadienal', '3-mercapto-4-methyl-2-pentanone', 'methional', '2,3-octanedione', 'octadienone', '1,5-octadienone', '1-octen-3-ol', 'butyl methacrylate', 'benzene, 1,2-dichloro-', '2-propionylpyrrole', 'methyl heptanoate', 'propionylpyrroline', '1, 8-cineole', 'benzene, 1,2-dichloro-', '3-methylheptanol', 'e-3-octen-2-one', 'acetylpyrazine', 'formic acid 3-mercapto-3-methyl-butyl ester', 'propionic acid hexyl ester', '()-cis-rose oxide', '(z)-3-hexenyl propionate', 'tetramethylpyrazine', 'hexyl acrylate', 'phenol', 'hexanoic acid', 'methyl cyclohexanecarboxylate', 'delta-valerolactone', 'glycerol', 'n-hexylbenzene', 'tridecane', '(r)-linden ether', '3-decanol', 'p-methylacetophenone', 'p-anisaldehyde', 'dichlorvos', '5-ethyl-3-hydroxy-4-methyl-2(5h)-furanone', '1,2-benzenediol', 'butyl octanoate', 'pentadecane', 'decanoic acid', 'p-mentha-dien-hydroperoxide', '4-vinylguaiacol', '(s)-3-(1-methyl-2-pyrrolidinyl)pyridine', 'gamma-nonalactone', '[z] whiskey lactone', 'p-menthadienhydroperoxide', 'undecyl acetate', 'beta-himachalene', 'delta-nonalactone', 'skatole', 'methyl eugenol', 'tridecanal', '3-tridecanol']",fresh
52,TA 1,0,"['acetaldehyde', 'methanethiol', 'methanol', '2-methylbutane', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'dimethyl sulfide', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', '2-methylfuran', 'hexamethyldisiloxane', '3-methylhexane', '2,2-dichloropropane', 'hexane, 2-methyl-', 'hexamethyldisiloxane', 'methyl 2-propenoate', '2,2,4-trimethylpentane', '3-methylhexane', 'ethene, 1,2-dichloro, (z)-', 'butan-2-one', '2-butanol', 'chloroform', 's(+)-2-butanol', '2,2,4-trimethylpentane', '1-methoxy-2-propanol', 'n-butanol', 'but-(e)-2-enal', '1-penten-3-one', 'trometamol', 'pent-1-en-3-ol', 'pentan-2-one', 'n-butanol', '1-methoxy-2-propanol', '1-penten-3-one', 'dibromochloromethane', '(z)-3-hexenal', '2-hexanol', 'hexanal', 'edb', 'n-hexylbenzene', 'tridecane', '(r)-linden ether', '2-[(methyldithio)methyl]furan', '5,6,7,8-tetrahydroquinoxaline']",fresh
53,TA 1,0,"['methanethiol', '2-methylbutane', 'acetaldehyde', 'methanethiol', 'methanol', '2-methylbutane', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', 'hexane, 2-methyl-', 'cyclohexane', '3-methylhexane', 'methylcyclopentane', 'hexamethyldisiloxane', 'methyl 2-propenoate', 'ethene, 1,2-dichloro, (z)-', '2,2-dichloropropane', 'ethyl acetate', '1-propanethiol', 'butane-2,3-dione', 's(+)-2-butanol', 'butanal', '2-butanol', '3-buten-2-one', 'pentanal', '3-pentanone', '1,2-dichloropropane', 'ethyl acrylate', 'ethyl propanoate', 'n-butanol', 'acetic acid', '1-methoxy-2-propanol', 'formic acid', 'octane', 'nonane', '3-ethylheptane', '3-methyl-octane', 'dibutyl ether', 'acetoin', '2-mercaptoethanol', 'dibromochloromethane', '(z)-3-hexenal', 'hexanal', '2-hexanol', '2,3-octanedione', 'octadienone', '1,5-octadienone', '1-octen-3-ol', 'butyl methacrylate', 'e-3-octen-2-one', 'formic acid 3-mercapto-3-methyl-butyl ester', 'acetylpyrazine', '2-acetylthiazole', 'dimethyl fumarate', 'n-hexylbenzene', 'tridecane', '(r)-linden ether', 'phenol, 2-methyl-', '(z)-3-hexenyl hexanoate', 'heptyl pentanoate', 'n-hexyl-hexanoate', 'butyl octanoate', 'octyl butanoate']",fresh
54,TA 1,0,"['acetaldehyde', 'methanethiol', 'methanol', 'pentane', '2-methylbutane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'dimethyl sulfide', 'methyl acetate', 'propan-2-one', 'dimethyl sulfide', '2-propanol', '2-methyl-2-propanol', 'ethane, 1,1-dichloro-', '2-methyl-2-propanethiol', 'diisopropyl ether', 'vinyl acetate', 'ethene, 1,2-dichloro, (e)-', '2-methylfuran', '2-methyl-2-propanethiol', 'vinyl acetate', '2,2-dichloropropane', 'ethane, 1,1-dichloro-', 'vinyl acetate', '3-buten-2-one', 'butanal', 'ethane, 1,1-dichloro-', 'butane-2,3-dione', 'butane-2,3-dione', '3-buten-2-one', 'butanal', 'vinyl acetate', 'butan-2-one', 'butane-2,3-dione', 'butan-2-one', 's(+)-2-butanol', '2-butanol', '3-buten-2-one', '1-methoxy-2-propanol', '1-penten-3-one', 'trometamol', 'n-butanol', '3-pentanone', 'octane', '(e)-4-octene', '1-octene', '3-ethylhexane', '3-methylheptane', 'dibromochloromethane', '(z)-3-hexenal', 'hexanal', '2-hexanol', 'edb', 'butyl 2-propenoate', 'ethyl pentanoate', 'butyl propanoate', 'vinylbenzene', '2-pentanone, 3-mercapto-', '(e)-cinnamaldehyde', 'epoxy-2-nonenal', 'p-anisaldehyde', 'geranial', '4-ethylguaiacol']",fresh
55,TA 1,0,"['acetaldehyde', 'methanethiol', '2-methylbutane', 'acetaldehyde', 'methanethiol', 'methanol', '2-methylbutane', 'pentane', 'propanal', 'propenal', 'ethyl chloride', 'ethanol', 'propan-2-one', 'methyl acetate', 'dimethyl sulfide', 'propan-2-one', '2-propanol', '2-methyl-2-propanol', '3-methylhexane', 'hexamethyldisiloxane', 'hexane, 2-methyl-', 'cyclohexane', '3-ethylpentane', 'butane-2,3-dione', '3-buten-2-one', 'butanal', 'butan-2-one', 'vinyl acetate', 'butane-2,3-dione', 's(+)-2-butanol', 'butan-2-one', '2-butanol', '3-buten-2-one', 'acetic acid', 'formic acid', 'n-butanol', '1-methoxy-2-propanol', 'but-(e)-2-enal', 'acetic acid', 'formic acid', 'octane', '(e)-4-octene', '1-octene', '3-methylfuran', 'acetoin', 'nonane', '3-ethylheptane', '3-methyl-octane', 'dibromochloromethane', '(z)-3-hexenal', 'hexanal', '2-hexanol', 'edb', 'butyl 2-propenoate', 'ethyl pentanoate', 'butyl propanoate', '2-pentanone, 3-mercapto-', 'vinylbenzene', 'pentanoic acid', '3-mercapto-4-methyl-2-pentanone', 'cyclopentane, 1-ethyl-3-methyl-', 'n-hexylbenzene', 'tridecane', '(r)-linden ether', '(e)-cinnamaldehyde', 'epoxy-2-nonenal', 'p-anisaldehyde', 'geranial', '4-ethylguaiacol']",fresh
