Sample_ID,Treatment,Day,Replicate ,Microbial Load (LOG),VOC,Revalence Index,,,,,
2,Control,0,3,2.40,ethanol,92.83,,,,,
2,Control,0,3,2.40,Methyl acetate,87.34,,,,,
2,Control,0,3,2.40,dimethyl sulfide,85.31,,,,,
2,Control,0,3,2.40,propan-2-one,85.12,,,,,
2,Control,0,3,2.40,2-propanol,83.05,,,,,
2,Control,0,3,2.40,2-Methyl-2-propanol,82.98,,,,,
2,Control,0,3,2.40,2-butanol,89.57,,,,,
2,Control,0,3,2.40,butan-2-one,89.51,,,,,
2,Control,0,3,2.40,Chloroform,89.31,,,,,
2,Control,0,3,2.40,S(+)-2-butanol,89.11,,,,,
2,Control,0,3,2.40,"Methane, bromochloro-",88.68,,,,,
2,Control,0,3,2.40,EDB,82.51,,,,,
2,Control,0,3,2.40,2-hexanol,82.5,,,,,
2,Control,0,3,2.40,Dibromochloromethane,82.12,,,,,
2,Control,0,3,2.40,3-hexanol,82.04,,,,,
2,Control,0,3,2.40,(Z)-3-hexenal,81.99,,,,,
2,Control,0,3,2.40,"Butyl 2-butenoate, (E)", ,,,,,
2,Control,0,3,2.40,3-Ethenylcyclooctene, ,,,,,
2,Control,0,3,2.40,Undecane,90.37,,,,,
2,Control,0,3,2.40,cis-Decalin,89.91,,,,,
2,Control,0,3,2.40,terpinolene,89.8,,,,,
2,Control,0,3,2.40,1-p-menthen-8-thiol,83.92,,,,,
2,Control,0,3,2.40,n-Hexylbenzene,83.92,,,,,
2,Control,0,3,2.40,(R)-linden ether,83.31,,,,,
2,Control,0,3,2.40,Tridecane,83.29,,,,,
2,Control,0,3,2.40,"Phenol, 2,6-dimethyl-",82.87,,,,,
3,Control,0,3,1.95,Methanol,86.92,,,,,
3,Control,0,3,1.95,Acetaldehyde,86.67,,,,,
3,Control,0,3,1.95,Methyl formate,84.13,,,,,
3,Control,0,3,1.95,Methanethiol,82.7,,,,,
3,Control,0,3,1.95,Propanal,94.93,,,,,
3,Control,0,3,1.95,Propenal,94.72,,,,,
3,Control,0,3,1.95,ethyl chloride,93.57,,,,,
3,Control,0,3,1.95,ethanol,92.31,,,,,
3,Control,0,3,1.95,Methyl acetate,98.81,,,,,
3,Control,0,3,1.95,dimethyl sulfide,96.93,,,,,
3,Control,0,3,1.95,propan-2-one,96.72,,,,,
3,Control,0,3,1.95,2-propanol,93.95,,,,,
3,Control,0,3,1.95,2-Methyl-2-propanol,93.87,,,,,
3,Control,0,3,1.95,butan-2-one,98.22,,,,,
3,Control,0,3,1.95,2-butanol,97.85,,,,,
3,Control,0,3,1.95,Chloroform,97.36,,,,,
3,Control,0,3,1.95,S(+)-2-butanol,97.36,,,,,
3,Control,0,3,1.95,"Methane, bromochloro-",96.61,,,,,
3,Control,0,3,1.95,(E)-2-penten-1-ol,95.88,,,,,
3,Control,0,3,1.95,1-hexen-3-ol,94.72,,,,,
3,Control,0,3,1.95,pentanol,94.66,,,,,
3,Control,0,3,1.95,Propanoic acid,94.24,,,,,
3,Control,0,3,1.95,"Ethane, 1,1,2-trichloro-",93.68,,,,,
3,Control,0,3,1.95,2-methylpropanoic acid,96.85,,,,,
3,Control,0,3,1.95,"Formamide, N,N-dimethyl-",94.62,,,,,
3,Control,0,3,1.95,"2,3-Butanediol",94.14,,,,,
3,Control,0,3,1.95,Butyl 2-propenoate,86.67,,,,,
3,Control,0,3,1.95,"2-Pentanone, 3-mercapto-",86.52,,,,,
4,Control,0,3,1.93,Propanal,95.62,,,,,
4,Control,0,3,1.93,Propenal,95.41,,,,,
4,Control,0,3,1.93,ethyl chloride,94.08,,,,,
4,Control,0,3,1.93,ethanol,92.98,,,,,
4,Control,0,3,1.93,Methyl acetate,94.93,,,,,
4,Control,0,3,1.93,dimethyl sulfide,92.65,,,,,
4,Control,0,3,1.93,propan-2-one,92.44,,,,,
4,Control,0,3,1.93,2-propanol,90.27,,,,,
4,Control,0,3,1.93,2-Methyl-2-propanol,90.19,,,,,
4,Control,0,3,1.93,"Ethene, 1,2-dichloro, (Z)-",83.65,,,,,
4,Control,0,3,1.93,Methyl 2-propenoate,83.42,,,,,
4,Control,0,3,1.93,1-propanethiol,83.33,,,,,
4,Control,0,3,1.93,Ethyl Acetate,82.7,,,,,
4,Control,0,3,1.93,2-butanol,97.38,,,,,
4,Control,0,3,1.93,butan-2-one,97.12,,,,,
4,Control,0,3,1.93,Chloroform,96.98,,,,,
4,Control,0,3,1.93,S(+)-2-butanol,96.89,,,,,
4,Control,0,3,1.93,"Methane, bromochloro-",96.49,,,,,
4,Control,0,3,1.93,"2,3-Pentanedione",83,,,,,
4,Control,0,3,1.93,Methyl butanoate,82.97,,,,,
4,Control,0,3,1.93,Dibromomethane,82.86,,,,,
4,Control,0,3,1.93,"Methane, bromodichloro-",82.65,,,,,
4,Control,0,3,1.93,Ethyl acrylate,82.36,,,,,
4,Control,0,3,1.93,EDB,98.31,,,,,
4,Control,0,3,1.93,2-hexanol,98.27,,,,,
4,Control,0,3,1.93,Dibromochloromethane,97.76,,,,,
4,Control,0,3,1.93,3-hexanol,97.72,,,,,
4,Control,0,3,1.93,(Z)-3-hexenal,97.59,,,,,
4,Control,0,3,1.93,1-Octen-3-ol,96.81,,,,,
4,Control,0,3,1.93,"1,5-octadienone",96.61,,,,,
4,Control,0,3,1.93,2-Octanone,96.43,,,,,
4,Control,0,3,1.93,octadienone,96.42,,,,,
4,Control,0,3,1.93,"2,3-Octanedione",96.2,,,,,
4,Control,0,3,1.93,Undecane,96.35,,,,,
4,Control,0,3,1.93,cis-Decalin,95.83,,,,,
4,Control,0,3,1.93,terpinolene,95.71,,,,,
4,Control,0,3,1.93,pentanoic acid,84.99,,,,,
4,Control,0,3,1.93,ethyl 3-(methylthio)propanoate,96.51,,,,,
4,Control,0,3,1.93,Fenchol,96.45,,,,,
4,Control,0,3,1.93,n-nonanal,96.27,,,,,
4,Control,0,3,1.93,Limonene oxide,96.08,,,,,
4,Control,0,3,1.93,Ethyl cyclohexanecarboxylate,95.99,,,,,
4,Control,0,3,1.93,n-Hexylbenzene,92.02,,,,,
4,Control,0,3,1.93,1-p-menthen-8-thiol,91.69,,,,,
4,Control,0,3,1.93,(R)-linden ether,91.21,,,,,
4,Control,0,3,1.93,Tridecane,91.14,,,,,
4,Control,0,3,1.93,n-Nonylcyclopentane,87.83,,,,,
4,Control,0,3,1.93,5-Methyltetradecane,87.72,,,,,
4,Control,0,3,1.93,"Tetradecane, 7-methyl",87.66,,,,,
4,Control,0,3,1.93,4-ethyl tridecane,87.66,,,,,
4,Control,0,3,1.93,6-methyl tetradecane,87.66,,,,,
5,Control,0,3,1.74,Methanol,81.95,,,,,
5,Control,0,3,1.74,Propanal,95.36,,,,,
5,Control,0,3,1.74,Propenal,95.15,,,,,
5,Control,0,3,1.74,ethyl chloride,94.17,,,,,
5,Control,0,3,1.74,ethanol,92.73,,,,,
5,Control,0,3,1.74,Methyl acetate,83.51,,,,,
5,Control,0,3,1.74,propan-2-one,82.25,,,,,
5,Control,0,3,1.74,dimethyl sulfide,82.2,,,,,
5,Control,0,3,1.74,"2,3-Pentanedione",97.08,,,,,
5,Control,0,3,1.74,Methyl butanoate,96.88,,,,,
5,Control,0,3,1.74,Dibromomethane,96.76,,,,,
5,Control,0,3,1.74,Ethyl acrylate,96.17,,,,,
5,Control,0,3,1.74,Pentanal,96.17,,,,,
5,Control,0,3,1.74,4-methyl-octane,91.61,,,,,
5,Control,0,3,1.74,2-Methyl octane,91.4,,,,,
5,Control,0,3,1.74,3-methyl-octane,91.4,,,,,
5,Control,0,3,1.74,3-Ethylheptane,91.19,,,,,
5,Control,0,3,1.74,4-Ethylheptane,90.87,,,,,
5,Control,0,3,1.74,3-Methylfuran,89.86,,,,,
5,Control,0,3,1.74,2-hexanol,97.59,,,,,
5,Control,0,3,1.74,EDB,97.56,,,,,
5,Control,0,3,1.74,Dibromochloromethane,97.36,,,,,
5,Control,0,3,1.74,(Z)-3-hexenal,97.2,,,,,
5,Control,0,3,1.74,3-hexanol,97.05,,,,,
5,Control,0,3,1.74,"2,6-Dimethyl-3-octene",90.54,,,,,
5,Control,0,3,1.74,heptan-2-ol,90.09,,,,,
5,Control,0,3,1.74,"2,5-Dimethylpyrazine",89.36,,,,,
5,Control,0,3,1.74,Cyclohexanone,89.33,,,,,
5,Control,0,3,1.74,"Butane, 1,4-dichloro-",89.25,,,,,
5,Control,0,3,1.74,1-Octen-3-ol,91.49,,,,,
5,Control,0,3,1.74,octadienone,91.45,,,,,
5,Control,0,3,1.74,"1,5-octadienone",91.44,,,,,
5,Control,0,3,1.74,"2,3-Octanedione",91.24,,,,,
5,Control,0,3,1.74,2-Octanone,90.94,,,,,
5,Control,0,3,1.74,Octanal,91.65,,,,,
5,Control,0,3,1.74,propionylpyrroline,91.16,,,,,
5,Control,0,3,1.74,trimethylpyrazine,91.03,,,,,
5,Control,0,3,1.74,2-Propionylpyrrole,90.98,,,,,
5,Control,0,3,1.74,3-Octanol,90.86,,,,,
5,Control,0,3,1.74,n-nonanal,91.61,,,,,
5,Control,0,3,1.74,ethyl 3-(methylthio)propanoate,91.51,,,,,
5,Control,0,3,1.74,Fenchol,91.46,,,,,
5,Control,0,3,1.74,Ethyl cyclohexanecarboxylate,90.94,,,,,
5,Control,0,3,1.74,2-nonanol,90.86,,,,,
5,Control,0,3,1.74,n-Hexylbenzene,89.9,,,,,
5,Control,0,3,1.74,1-p-menthen-8-thiol,89.32,,,,,
5,Control,0,3,1.74,Tridecane,88.99,,,,,
5,Control,0,3,1.74,(R)-linden ether,88.9,,,,,
5,Control,0,3,1.74,5-Methyltetradecane,94.68,,,,,
5,Control,0,3,1.74,6-methyl tetradecane,94.62,,,,,
5,Control,0,3,1.74,"Tetradecane, 7-methyl",94.62,,,,,
5,Control,0,3,1.74,4-ethyl tridecane,94.62,,,,,
5,Control,0,3,1.74,n-Nonylcyclopentane,94.58,,,,,
7,Control,0,3,2.61,Methanol,95.29,,,,,
7,Control,0,3,2.61,Acetaldehyde,91.64,,,,,
7,Control,0,3,2.61,Methyl formate,88.3,,,,,
7,Control,0,3,2.61,Methanethiol,86.61,,,,,
7,Control,0,3,2.61,Propanal,95.63,,,,,
7,Control,0,3,2.61,Propenal,95.41,,,,,
7,Control,0,3,2.61,ethyl chloride,94,,,,,
7,Control,0,3,2.61,ethanol,92.99,,,,,
7,Control,0,3,2.61,propan-2-one,90.99,,,,,
7,Control,0,3,2.61,Fluorobenzene,85.03,,,,,
7,Control,0,3,2.61,Methyl isobutyrate,84.21,,,,,
7,Control,0,3,2.61,Thiophene,84.03,,,,,
7,Control,0,3,2.61,2-ethyl furan,82.5,,,,,
7,Control,0,3,2.61,Trichloroethylene,82.42,,,,,
7,Control,0,3,2.61,1-penten-3-one,88.49,,,,,
7,Control,0,3,2.61,1-methoxy-2-propanol,87.71,,,,,
7,Control,0,3,2.61,pent-1-en-3-ol,87.63,,,,,
7,Control,0,3,2.61,3-Pentanone,87.42,,,,,
7,Control,0,3,2.61,pentan-2-one,87.34,,,,,
7,Control,0,3,2.61,"2,3-Pentanedione",90.41,,,,,
7,Control,0,3,2.61,Methyl butanoate,90.22,,,,,
7,Control,0,3,2.61,Dibromomethane,90.1,,,,,
7,Control,0,3,2.61,Pentanal,89.58,,,,,
7,Control,0,3,2.61,Ethyl acrylate,89.55,,,,,
7,Control,0,3,2.61,Acetoin,91.4,,,,,
7,Control,0,3,2.61,4-methyl-octane,86.97,,,,,
7,Control,0,3,2.61,2-Methyl octane,86.77,,,,,
7,Control,0,3,2.61,3-methyl-octane,86.77,,,,,
7,Control,0,3,2.61,3-Ethylheptane,86.57,,,,,
7,Control,0,3,2.61,2-hexanol,97.93,,,,,
7,Control,0,3,2.61,EDB,97.82,,,,,
7,Control,0,3,2.61,Dibromochloromethane,97.65,,,,,
7,Control,0,3,2.61,(Z)-3-hexenal,97.48,,,,,
7,Control,0,3,2.61,3-hexanol,97.39,,,,,
7,Control,0,3,2.61,5-Methyl-4-nonene,93.57,,,,,
7,Control,0,3,2.61,Octamethylcyclotetrasiloxane,91.29,,,,,
7,Control,0,3,2.61,Decane,90.46,,,,,
7,Control,0,3,2.61,furfural,84.26,,,,,
7,Control,0,3,2.61,2-Cyclopenten-1-one,84.03,,,,,
7,Control,0,3,2.61,1-Octen-3-ol,91.49,,,,,
7,Control,0,3,2.61,"1,5-octadienone",91.33,,,,,
7,Control,0,3,2.61,octadienone,91.24,,,,,
7,Control,0,3,2.61,2-Octanone,91.05,,,,,
7,Control,0,3,2.61,"2,3-Octanedione",91.03,,,,,
7,Control,0,3,2.61,Octanal,87.17,,,,,
7,Control,0,3,2.61,propionylpyrroline,86.85,,,,,
7,Control,0,3,2.61,2-Propionylpyrrole,86.68,,,,,
7,Control,0,3,2.61,trimethylpyrazine,86.58,,,,,
7,Control,0,3,2.61,trans-hex-2-enyl acetate,86.46,,,,,
7,Control,0,3,2.61,"3,5-Octadien-2-one",81.55,,,,,
7,Control,0,3,2.61,"2-Octenal, (E)-",81.25,,,,,
7,Control,0,3,2.61,4-Nonanol,81.22,,,,,
7,Control,0,3,2.61,3-Nonanol,81.05,,,,,
7,Control,0,3,2.61,Linalool,81.02,,,,,
7,Control,0,3,2.61,ethyl 3-(methylthio)propanoate,84.36,,,,,
7,Control,0,3,2.61,Fenchol,84.31,,,,,
7,Control,0,3,2.61,n-nonanal,84.23,,,,,
7,Control,0,3,2.61,Limonene oxide,83.89,,,,,
7,Control,0,3,2.61,Ethyl cyclohexanecarboxylate,83.88,,,,,
7,Control,0,3,2.61,tridecanal,80.97,,,,,
7,Control,0,3,2.61,Undecyl acetate,80.53,,,,,
7,Control,0,3,2.61,2-tridecanol,80.43,,,,,
7,Control,0,3,2.61,3-Tridecanol,80.23,,,,,
7,Control,0,3,2.61,2-Tridecanone,80.22,,,,,
7,Control,0,3,2.61,"Benzene, 1,3-dinitro-",95.44,,,,,
7,Control,0,3,2.61,bis(2-furylmethyl) sulfide,94.42,,,,,
7,Control,0,3,2.61,delta-Nonalactone,94.31,,,,,
7,Control,0,3,2.61,"1,2,4-Thiadiazole, 5-ethoxy-3-(trichloromethyl)-",93.55,,,,,
7,Control,0,3,2.61,Methyl eugenol,92.98,,,,,
7,Control,0,3,2.61,Mevinphos,96.04,,,,,
7,Control,0,3,2.61,Vanillin,94.93,,,,,
7,Control,0,3,2.61,Isoeugenol,94.57,,,,,
7,Control,0,3,2.61,Dimethyl phthalate,94.53,,,,,
7,Control,0,3,2.61,"1,9-Nonanediol",94.45,,,,,
8,Control,0,3,1.85,Propanal,96.05,,,,,
8,Control,0,3,1.85,Propenal,95.83,,,,,
8,Control,0,3,1.85,ethyl chloride,94.07,,,,,
8,Control,0,3,1.85,ethanol,93.4,,,,,
8,Control,0,3,1.85,Methyl acetate,82.38,,,,,
8,Control,0,3,1.85,dimethyl sulfide,80.74,,,,,
8,Control,0,3,1.85,propan-2-one,80.63,,,,,
8,Control,0,3,1.85,"2,2,4-Trimethylpentane",85.02,,,,,
8,Control,0,3,1.85,3-Ethylpentane,84.79,,,,,
8,Control,0,3,1.85,Heptane,84.77,,,,,
8,Control,0,3,1.85,Hexamethyldisiloxane,83.67,,,,,
8,Control,0,3,1.85,3-Methylhexane,82.68,,,,,
8,Control,0,3,1.85,"butane-2,3-dione",96.39,,,,,
8,Control,0,3,1.85,S(+)-2-butanol,94.98,,,,,
8,Control,0,3,1.85,butan-2-one,94.58,,,,,
8,Control,0,3,1.85,2-butanol,94.5,,,,,
8,Control,0,3,1.85,Butanal,94.11,,,,,
8,Control,0,3,1.85,"2,3-Pentanedione",88.08,,,,,
8,Control,0,3,1.85,Methyl butanoate,87.95,,,,,
8,Control,0,3,1.85,Dibromomethane,87.84,,,,,
8,Control,0,3,1.85,Ethyl acrylate,87.31,,,,,
8,Control,0,3,1.85,"Methane, bromodichloro-",87.24,,,,,
8,Control,0,3,1.85,Acetoin,96.27,,,,,
8,Control,0,3,1.85,Nonane,89.75,,,,,
8,Control,0,3,1.85,Dibutyl ether,87.57,,,,,
8,Control,0,3,1.85,2-hexanol,98.6,,,,,
8,Control,0,3,1.85,EDB,98.51,,,,,
8,Control,0,3,1.85,Dibromochloromethane,98.31,,,,,
8,Control,0,3,1.85,(Z)-3-hexenal,98.14,,,,,
8,Control,0,3,1.85,3-hexanol,98.05,,,,,
8,Control,0,3,1.85,nonane 3-methyl,85.2,,,,,
8,Control,0,3,1.85,Octamethylcyclotetrasiloxane,85.14,,,,,
8,Control,0,3,1.85,3-Ethyloctane,85.07,,,,,
8,Control,0,3,1.85,5-Methyl-4-nonene,84.95,,,,,
8,Control,0,3,1.85,beta-Pinene,84.52,,,,,
8,Control,0,3,1.85,Cyclohexanol,97.21,,,,,
8,Control,0,3,1.85,(Z)-2-Hexen-1-ol,96.88,,,,,
8,Control,0,3,1.85,4-Heptanol,96.37,,,,,
8,Control,0,3,1.85,3-heptanol,96.06,,,,,
8,Control,0,3,1.85,1-Hexanol,95.92,,,,,
8,Control,0,3,1.85,1-Octen-3-ol,95.49,,,,,
8,Control,0,3,1.85,"1,5-octadienone",95.26,,,,,
8,Control,0,3,1.85,octadienone,95.18,,,,,
8,Control,0,3,1.85,2-Octanone,95.01,,,,,
8,Control,0,3,1.85,"2,3-Octanedione",94.97,,,,,
8,Control,0,3,1.85,Acetophenone,88.64,,,,,
8,Control,0,3,1.85,benzyl alcohol,88.62,,,,,
8,Control,0,3,1.85,benzeneacetaldehyde,88.08,,,,,
8,Control,0,3,1.85,5-ethyldihydro-2(3h)-furanone,88,,,,,
8,Control,0,3,1.85,"2-Hydroxy-3,4-dimethyl-2-cyclopenten-1-one",87.4,,,,,
9,Control,0,3,2.11,Propanal,95.96,,,,,
9,Control,0,3,2.11,Propenal,95.75,,,,,
9,Control,0,3,2.11,ethyl chloride,93.81,,,,,
9,Control,0,3,2.11,ethanol,93.32,,,,,
9,Control,0,3,2.11,Methyl acetate,98.54,,,,,
9,Control,0,3,2.11,dimethyl sulfide,96.09,,,,,
9,Control,0,3,2.11,propan-2-one,95.96,,,,,
9,Control,0,3,2.11,2-propanol,93.7,,,,,
9,Control,0,3,2.11,2-Methyl-2-propanol,93.62,,,,,
9,Control,0,3,2.11,"butane-2,3-dione",80.42,,,,,
9,Control,0,3,2.11,Chloroform,99.65,,,,,
9,Control,0,3,2.11,"Methane, bromochloro-",99.54,,,,,
9,Control,0,3,2.11,Methyl propanoate,97.36,,,,,
9,Control,0,3,2.11,"Ethene, 1,2-dichloro, (Z)-",97.33,,,,,
9,Control,0,3,2.11,1-Butanamine,97.09,,,,,
9,Control,0,3,2.11,EDB,83.09,,,,,
9,Control,0,3,2.11,2-hexanol,83.05,,,,,
9,Control,0,3,2.11,3-hexanol,82.59,,,,,
9,Control,0,3,2.11,Dibromochloromethane,82.57,,,,,
9,Control,0,3,2.11,(Z)-3-hexenal,82.43,,,,,
9,Control,0,3,2.11,dodecane,94.89,,,,,
9,Control,0,3,2.11,"1,2,4-Trichlorobenzene",94.72,,,,,
9,Control,0,3,2.11,2-Isobutyl-3-methoxypyrazine,93.09,,,,,
9,Control,0,3,2.11,2-Methoxy-3-(1-methylpropyl)pyrazine,92.76,,,,,
9,Control,0,3,2.11,E-2-Nonen-1-ol,91.83,,,,,
9,Control,0,3,2.11,()-perillaldehyde, ,,,,,
9,Control,0,3,2.11,Tetradecane,93.46,,,,,
9,Control,0,3,2.11,5-ethyl-3-hydroxy-4-methyl-2(5H)-furanone,85.38,,,,,
9,Control,0,3,2.11,ethyl maltol,83.94,,,,,
9,Control,0,3,2.11,bis(2-furylmethyl) sulfide,85.18,,,,,
9,Control,0,3,2.11,"Benzene, 1,3-dinitro-",84.66,,,,,
9,Control,0,3,2.11,"1,2,4-Thiadiazole, 5-ethoxy-3-(trichloromethyl)-",84.5,,,,,
9,Control,0,3,2.11,"Carbamothioic acid, butylethyl, S-propyl ester",84.23,,,,,
9,Control,0,3,2.11,Methyl eugenol,82.17,,,,,
10,Control,0,3,1.81,Propanal,95.78,,,,,
10,Control,0,3,1.81,Propenal,95.57,,,,,
10,Control,0,3,1.81,ethyl chloride,93.72,,,,,
10,Control,0,3,1.81,ethanol,93.14,,,,,
10,Control,0,3,1.81,Methyl acetate,97.73,,,,,
10,Control,0,3,1.81,dimethyl sulfide,95.54,,,,,
10,Control,0,3,1.81,propan-2-one,95.06,,,,,
10,Control,0,3,1.81,2-propanol,92.92,,,,,
10,Control,0,3,1.81,2-Methyl-2-propanol,92.84,,,,,
10,Control,0,3,1.81,"butane-2,3-dione",90.02,,,,,
10,Control,0,3,1.81,S(+)-2-butanol,88.74,,,,,
10,Control,0,3,1.81,butan-2-one,88.33,,,,,
10,Control,0,3,1.81,2-butanol,88.29,,,,,
10,Control,0,3,1.81,Butanal,87.89,,,,,
10,Control,0,3,1.81,Butyl 2-propenoate,97.94,,,,,
10,Control,0,3,1.81,"2-Pentanone, 3-mercapto-",97.8,,,,,
10,Control,0,3,1.81,Butyl propanoate,97.35,,,,,
10,Control,0,3,1.81,Propyl 2-methyl-2-propenoate,97.16,,,,,
10,Control,0,3,1.81,Pentyl acetate,96.87,,,,,
10,Control,0,3,1.81,Butylate,97.92,,,,,
10,Control,0,3,1.81,Geosmin,97.42,,,,,
10,Control,0,3,1.81,alpha-ionone,97.33,,,,,
10,Control,0,3,1.81,"Carbamothioic acid, dipropyl, S-propyl ester",96.3,,,,,
10,Control,0,3,1.81,(E)-Methyl cinnamate,93.33,,,,,
10,Control,0,3,1.81,Methyl eugenol,99.26,,,,,
10,Control,0,3,1.81,delta-Nonalactone,97.43,,,,,
10,Control,0,3,1.81,bis(2-furylmethyl) sulfide,95,,,,,
10,Control,0,3,1.81,"Benzene, 1,3-dinitro-",94.42,,,,,
10,Control,0,3,1.81,"1,2,4-Thiadiazole, 5-ethoxy-3-(trichloromethyl)-",94.24,,,,,
11,Control,2,3,1.18,Trimethylamine,59.36,,,,,
11,Control,2,3,1.18,Methanethiol,58.33,,,,,
11,Control,2,3,1.18,Methyl formate,57.89,,,,,
11,Control,2,3,1.18,2-Methylbutane,29.42,,,,,
11,Control,2,3,1.18,Acetaldehyde,90.71,,,,,
11,Control,2,3,1.18,Methanol,87.23,,,,,
11,Control,2,3,1.18,Methanethiol,87.21,,,,,
11,Control,2,3,1.18,2-Methylbutane,85.09,,,,,
11,Control,2,3,1.18,Pentane,80.58,,,,,
11,Control,2,3,1.18,Propanal,94.96,,,,,
11,Control,2,3,1.18,Propenal,94.75,,,,,
11,Control,2,3,1.18,ethyl chloride,93.85,,,,,
11,Control,2,3,1.18,ethanol,92.33,,,,,
11,Control,2,3,1.18,propan-2-one,90.53,,,,,
11,Control,2,3,1.18,Methyl acetate,96.51,,,,,
11,Control,2,3,1.18,dimethyl sulfide,94.76,,,,,
11,Control,2,3,1.18,propan-2-one,94.55,,,,,
11,Control,2,3,1.18,2-propanol,91.77,,,,,
11,Control,2,3,1.18,2-Methyl-2-propanol,91.69,,,,,
11,Control,2,3,1.18,2-methylpropanal,31.48,,,,,
11,Control,2,3,1.18,Acrylonitrile,31.09,,,,,
11,Control,2,3,1.18,Dichloromethane,30.8,,,,,
11,Control,2,3,1.18,2-Methyl-2-propanol,30.6,,,,,
11,Control,2,3,1.18,2-propanol,30.57,,,,,
11,Control,2,3,1.18,butan-2-one,97.07,,,,,
11,Control,2,3,1.18,2-butanol,96.67,,,,,
11,Control,2,3,1.18,Chloroform,96.18,,,,,
11,Control,2,3,1.18,S(+)-2-butanol,96.18,,,,,
11,Control,2,3,1.18,"Methane, bromochloro-",95.44,,,,,
11,Control,2,3,1.18,2-butanol,29.54,,,,,
11,Control,2,3,1.18,S(+)-2-butanol,29.39,,,,,
11,Control,2,3,1.18,Chloroform,29.06,,,,,
11,Control,2,3,1.18,"Methane, bromochloro-",29,,,,,
11,Control,2,3,1.18,"1-Propanol, 2-methyl-",28.98,,,,,
11,Control,2,3,1.18,3-Ethylhexane,27.8,,,,,
11,Control,2,3,1.18,Octane,27.8,,,,,
11,Control,2,3,1.18,acetic acid,17.39,,,,,
11,Control,2,3,1.18,Formic acid,17.39,,,,,
11,Control,2,3,1.18,2-hexanol,91.17,,,,,
11,Control,2,3,1.18,EDB,91.1,,,,,
11,Control,2,3,1.18,Dibromochloromethane,90.94,,,,,
11,Control,2,3,1.18,(Z)-3-hexenal,90.79,,,,,
11,Control,2,3,1.18,3-hexanol,90.66,,,,,
11,Control,2,3,1.18,p-menthadienhydroperoxide,84.9,,,,,
11,Control,2,3,1.18,p-mentha-dien-hydroperoxide,84.81,,,,,
11,Control,2,3,1.18,Triacetin,84.19,,,,,
11,Control,2,3,1.18,Cinnamaldehyde,83.92,,,,,
11,Control,2,3,1.18,1-Undecylthiol,79.47,,,,,
12,Control,2,3,1.40,Trimethylamine,76.24,,,,,
12,Control,2,3,1.40,Methanethiol,74.25,,,,,
12,Control,2,3,1.40,2-Methylbutane,56.78,,,,,
12,Control,2,3,1.40,Acetaldehyde,94.42,,,,,
12,Control,2,3,1.40,Methanol,90.81,,,,,
12,Control,2,3,1.40,Methanethiol,90.6,,,,,
12,Control,2,3,1.40,2-Methylbutane,88.39,,,,,
12,Control,2,3,1.40,Methyl formate,53.42,,,,,
12,Control,2,3,1.40,Propanal,95.47,,,,,
12,Control,2,3,1.40,Propenal,95.26,,,,,
12,Control,2,3,1.40,ethyl chloride,93.84,,,,,
12,Control,2,3,1.40,ethanol,92.83,,,,,
12,Control,2,3,1.40,propan-2-one,90.84,,,,,
12,Control,2,3,1.40,Methyl acetate,87.34,,,,,
